yasha@yasha-VirtualBox:~/embedUr-Training/Linux-Training$ ps -ef
UID          PID    PPID  C STIME TTY          TIME CMD
root        1353       1  0 16:25 ?        00:00:03 /usr/bin/dockerd -H fd:// --
yasha       1368    1328  0 16:25 ?        00:00:05 /usr/bin/pipewire
yasha       1370    1328  0 16:25 ?        00:00:00 /usr/bin/pipewire -c filter-
yasha       1374    1328  0 16:25 ?        00:00:00 /usr/bin/wireplumber
yasha       1375    1328  0 16:25 ?        00:00:00 /usr/bin/pipewire-pulse
yasha       1377    1328  0 16:25 ?        00:00:00 /usr/bin/gnome-keyring-daemo
yasha       1395    1328  0 16:25 ?        00:00:01 /usr/bin/dbus-daemon --sessi
rtkit       1419       1  0 16:25 ?        00:00:00 /usr/libexec/rtkit-daemon
yasha       1431    1279  0 16:25 tty2     00:00:00 /usr/libexec/gdm-wayland-ses
yasha       1436    1431  0 16:25 tty2     00:00:00 /usr/libexec/gnome-session-b
yasha       1459    1328  0 16:25 ?        00:00:00 /usr/libexec/xdg-document-po
yasha       1488    1328  0 16:25 ?        00:00:00 /usr/libexec/xdg-permission-
root        1507    1459  0 16:25 ?        00:00:00 fusermount3 -o rw,nosuid,nod
yasha       1521    1328  0 16:25 ?        00:00:00 /usr/libexec/gcr-ssh-agent -
yasha       1523    1328  0 16:25 ?        00:00:00 /usr/libexec/gnome-session-c
yasha       1530    1328  0 16:25 ?        00:00:00 /usr/libexec/gvfsd
yasha       1544    1328  0 16:25 ?        00:00:00 /usr/libexec/gvfsd-fuse /run
yasha       1550    1328  0 16:25 ?        00:00:00 /usr/libexec/gnome-session-b
yasha       1594    1328  1 16:25 ?        00:03:31 /usr/bin/gnome-shell
yasha       1595    1550  0 16:25 ?        00:00:00 /usr/libexec/at-spi-bus-laun
yasha       1620    1595  0 16:25 ?        00:00:00 /usr/bin/dbus-daemon --confi
yasha       1875    1328  0 16:25 ?        00:00:00 /usr/libexec/at-spi2-registr
colord      1876       1  0 16:25 ?        00:00:00 /usr/libexec/colord
yasha       1891    1328  0 16:25 ?        00:00:00 /snap/snapd-desktop-integrat
yasha       1919    1328  0 16:25 ?        00:00:00 /usr/libexec/gnome-shell-cal
yasha       1965    1891  0 16:25 ?        00:00:00 /snap/snapd-desktop-integrat
yasha       1967    1328  0 16:25 ?        00:00:00 /usr/libexec/evolution-sourc
yasha       1983    1328  0 16:25 ?        00:00:00 /usr/bin/gjs -m /usr/share/g
root        1984       1  0 16:25 ?        00:00:01 /usr/libexec/upowerd
yasha       1995    1328  0 16:25 ?        00:00:10 /usr/bin/ibus-daemon --panel
yasha       1998    1328  0 16:25 ?        00:00:00 /usr/libexec/gsd-a11y-settin
yasha       2002    1328  0 16:25 ?        00:00:00 /usr/libexec/gsd-color
yasha       2005    1328  0 16:25 ?        00:00:00 /usr/libexec/gsd-datetime
yasha       2006    1328  0 16:25 ?        00:00:00 /usr/libexec/gsd-housekeepin
yasha       2007    1328  0 16:25 ?        00:00:00 /usr/libexec/gsd-keyboard
yasha       2011    1328  0 16:25 ?        00:00:00 /usr/libexec/gsd-media-keys
yasha       2012    1328  0 16:25 ?        00:00:00 /usr/libexec/gsd-power
yasha       2014    1328  0 16:25 ?        00:00:00 /usr/libexec/gsd-print-notif
yasha       2017    1328  0 16:25 ?        00:00:00 /usr/libexec/gsd-rfkill
yasha       2018    1328  0 16:25 ?        00:00:00 /usr/libexec/gsd-screensaver
yasha       2019    1328  0 16:25 ?        00:00:00 /usr/libexec/gsd-sharing
yasha       2021    1328  0 16:25 ?        00:00:00 /usr/libexec/gsd-smartcard
yasha       2022    1328  0 16:25 ?        00:00:00 /usr/libexec/gsd-sound
