yasha@yasha-VirtualBox:~/embedUr-Training/Linux-Training$ ps -ef
UID          PID    PPID  C STIME TTY          TIME CMD
yasha       2277  0.0  0.3 686184 30032 ?        Ssl  16:25   0:00 /usr/libexec/
yasha       2282  0.0  0.0 310760  7048 ?        Ssl  16:25   0:00 /usr/libexec/
yasha       2295  0.0  0.1 389380  8212 ?        Ssl  16:25   0:03 /usr/libexec/
yasha       2304  0.0  0.0 309792  6712 ?        Ssl  16:25   0:00 /usr/libexec/
yasha       2309  0.0  0.8 260700 71420 ?        S    16:25   0:00 /usr/bin/Xway
yasha       2327  0.0  0.0 236896  7592 ?        Sl   16:25   0:04 /usr/libexec/
yasha       2351  0.0  0.0 230240  6124 ?        Ssl  16:25   0:00 /usr/libexec/
yasha       2370  0.0  0.0 236304  6588 ?        Ssl  16:25   0:00 /usr/libexec/
yasha       2371  0.0  0.1 535708  9208 ?        Sl   16:25   0:00 /usr/libexec/
yasha       2425  0.0  0.3 669232 27784 ?        SNsl 16:25   0:00 /usr/libexec/
yasha       2443  0.0  1.0 640832 83816 ?        Ssl  16:25   0:00 /usr/libexec/
yasha       2447  0.0  0.3 2592972 26940 ?       Sl   16:25   0:00 /usr/bin/gjs 
yasha       2458  0.0  0.1 636076 14604 ?        Ssl  16:26   0:00 /usr/libexec/
yasha       2467  0.0  0.5 556688 41152 ?        Ssl  16:26   0:00 /usr/libexec/
yasha       2499  0.0  0.3 417760 26720 ?        Ssl  16:26   0:00 /usr/libexec/
yasha       2510  0.0  0.3 266864 24404 ?        Sl   16:26   0:00 /usr/libexec/
yasha       2524  0.0  0.0  19492  1588 ?        S    16:26   0:00 /usr/bin/VBox
yasha       2525  0.0  0.0 218960  7224 ?        Sl   16:26   0:00 /usr/bin/VBox
yasha       2535  0.0  1.2 823064 101628 ?       Sl   16:26   0:00 /usr/libexec/
yasha       2550  0.0  0.0  19492  1584 ?        S    16:26   0:00 /usr/bin/VBox
yasha       2551  0.0  0.0 151596  2500 ?        Sl   16:26   0:04 /usr/bin/VBox
yasha       2653  0.0  0.4 569268 33636 ?        Sl   16:26   0:01 /usr/bin/upda
yasha       2993  0.0  3.2 1154428 261184 ?      Sl   17:03   0:04 /usr/bin/naut
yasha       3021  0.0  0.1 388492  9016 ?        Sl   17:03   0:00 /usr/libexec/
yasha       3035  0.0  3.2 1195852 265824 ?      Sl   17:03   0:08 /usr/bin/gnom
root        3152  0.0  0.5 554452 41844 ?        Ssl  17:17   0:02 /usr/libexec/
root        3355  0.0  0.0      0     0 ?        I<   18:04   0:00 [kworker/u5:0
yasha       4180  0.0  0.2  37688 21252 ?        S    19:47   0:00 /usr/bin/pyth
yasha       4181  0.0  0.3 458920 29432 ?        Sl   19:47   0:00 /usr/bin/gnom
yasha       4187  0.2  0.7 701428 57684 ?        Ssl  19:47   0:10 /usr/libexec/
yasha       4195  0.0  0.0  11396  5644 pts/0    Ss   19:47   0:00 bash
root        4246  0.0  0.4 1702196 38816 ?       Ssl  20:15   0:01 /snap/snapd/c
root        4250  0.0  0.2  50644 17560 ?        S<s  20:15   0:00 /usr/lib/syst
systemd+    4257  0.0  0.0  17564  7688 ?        Ss   20:15   0:01 /usr/lib/syst
root        4352  0.0  0.0      0     0 ?        I<   20:21   0:00 [kworker/0:0H
root        4455  0.0  0.0      0     0 ?        I    20:26   0:01 [kworker/u4:4
root        4524  0.0  0.0      0     0 ?        I    20:33   0:01 [kworker/u4:1
root        4559  0.0  0.0      0     0 ?        I    20:40   0:02 [kworker/u4:2
root        4631  0.0  0.0      0     0 ?        I<   20:42   0:00 [kworker/0:2H
root        4658  0.1  0.0      0     0 ?        I    20:46   0:03 [kworker/0:1-
root        4673  0.0  0.0      0     0 ?        I<   20:47   0:00 [kworker/u5:2
root        4822  0.0  0.0      0     0 ?        I    21:02   0:00 [kworker/u4:0
root        4836  0.0  0.0      0     0 ?        I    21:06   0:00 [kworker/0:0-
root        4848  0.0  0.0      0     0 ?        I    21:12   0:00 [kworker/u4:3
root        4874  0.0  0.0      0     0 ?        I    21:14   0:00 [kworker/u4:5
yasha       4892  0.1  0.7 2805888 60448 ?       Sl   21:15   0:00 gjs /usr/shar
root        4945  0.0  0.0      0     0 ?        I    21:16   0:00 [kworker/0:2-
yasha       4950  0.0  0.0  13616  4660 pts/0    R+   21:17   0:00 ps aux
yasha@yasha-VirtualBox:~/embedUr-Training/Linux-Training$ nano Question_3
yasha@yasha-VirtualBox:~/embedUr-Training/Linux-Training$ 

